meae_id,type,congress,state,geography,level,election_id,election_office,district,year,election_type
meae.congressional.congress07.sc.county,congressional,7,SC,county,state,sc.uscongress.washington.1800,U.S. House of Representatives,6,1800,general
meae.congressional.congress07.sc.county,congressional,7,SC,county,state,sc.uscongress.ninety-six.1800,U.S. House of Representatives,5,1800,general
meae.congressional.congress07.sc.county,congressional,7,SC,county,state,sc.uscongress.georgetown.1800,U.S. House of Representatives,3,1800,general
meae.congressional.congress07.sc.county,congressional,7,SC,county,state,sc.uscongress.charleston.1800,U.S. House of Representatives,1,1800,general
meae.congressional.congress07.sc.county,congressional,7,SC,county,state,sc.uscongress.camden.1800,U.S. House of Representatives,4,1800,general
meae.congressional.congress07.sc.county,congressional,7,SC,county,state,sc.uscongress.beaufort.1800,U.S. House of Representatives,2,1800,general
meae.congressional.congress08.sc.county,congressional,8,SC,county,state,sc.uscongress.sumter.1803,U.S. House of Representatives,5,1803,general
meae.congressional.congress08.sc.county,congressional,8,SC,county,state,sc.uscongress.pendleton.1803,U.S. House of Representatives,8,1803,general
meae.congressional.congress08.sc.county,congressional,8,SC,county,state,sc.uscongress.orangeburg.1803,U.S. House of Representatives,4,1803,general
meae.congressional.congress08.sc.county,congressional,8,SC,county,state,sc.uscongress.georgetown.1803,U.S. House of Representatives,3,1803,general
meae.congressional.congress08.sc.county,congressional,8,SC,county,state,sc.uscongress.chester.1803,U.S. House of Representatives,7,1803,general
meae.congressional.congress08.sc.county,congressional,8,SC,county,state,sc.uscongress.charleston.1803,U.S. House of Representatives,1,1803,general
meae.congressional.congress08.sc.county,congressional,8,SC,county,state,sc.uscongress.abbeville.1803,U.S. House of Representatives,6,1803,general
meae.congressional.congress08.sc.county,congressional,8,SC,county,state,sc.uscongress.edgefield.1803,U.S. House of Representatives,2,1803,general
meae.congressional.congress09.sc.county,congressional,9,SC,county,state,sc.uscongress.sumter.1804,U.S. House of Representatives,5,1804,general
meae.congressional.congress09.sc.county,congressional,9,SC,county,state,sc.uscongress.orangeburg.1804,U.S. House of Representatives,4,1804,general
meae.congressional.congress09.sc.county,congressional,9,SC,county,state,sc.uscongress.abbeville.1804,U.S. House of Representatives,6,1804,general
meae.congressional.congress09.sc.county,congressional,9,SC,county,state,sc.uscongress.spartanburg.1804,U.S. House of Representatives,7,1804,general
meae.congressional.congress09.sc.county,congressional,9,SC,county,state,sc.uscongress.pendleton.1804,U.S. House of Representatives,8,1804,general
meae.congressional.congress09.sc.county,congressional,9,SC,county,state,sc.uscongress.georgetown.1804,U.S. House of Representatives,3,1804,general
meae.congressional.congress09.sc.county,congressional,9,SC,county,state,sc.uscongress.edgefield.1804,U.S. House of Representatives,2,1804,general
meae.congressional.congress09.sc.county,congressional,9,SC,county,state,sc.uscongress.charleston.1804,U.S. House of Representatives,1,1804,general
meae.congressional.congress10.sc.county,congressional,10,SC,county,state,sc.uscongress.charleston.1806,U.S. House of Representatives,2,1806,general
meae.congressional.congress10.sc.county,congressional,10,SC,county,state,sc.uscongress.sumter.1806,U.S. House of Representatives,5,1806,general
meae.congressional.congress10.sc.county,congressional,10,SC,county,state,sc.uscongress.spartanburg.1806,U.S. House of Representatives,7,1806,general
meae.congressional.congress10.sc.county,congressional,10,SC,county,state,sc.uscongress.pendleton.1806,U.S. House of Representatives,8,1806,general
meae.congressional.congress10.sc.county,congressional,10,SC,county,state,sc.uscongress.orangeburgh.1806,U.S. House of Representatives,4,1806,general
meae.congressional.congress10.sc.county,congressional,10,SC,county,state,sc.uscongress.newberry.specialelection.1807,U.S. House of Representatives,6,1807,special
meae.congressional.congress10.sc.county,congressional,10,SC,county,state,sc.uscongress.georgetown.1806,U.S. House of Representatives,3,1806,general
meae.congressional.congress10.sc.county,congressional,10,SC,county,state,sc.uscongress.beaufort.1806,U.S. House of Representatives,2,1806,general
meae.congressional.congress11.sc.county,congressional,11,SC,county,state,sc.uscongress.district7.1808,U.S. House of Representatives,7,1808,general
meae.congressional.congress11.sc.county,congressional,11,SC,county,state,sc.uscongress.district6.1808,U.S. House of Representatives,6,1808,general
meae.congressional.congress11.sc.county,congressional,11,SC,county,state,sc.uscongress.district5.1808,U.S. House of Representatives,5,1808,general
meae.congressional.congress11.sc.county,congressional,11,SC,county,state,sc.uscongress.district8.1808,U.S. House of Representatives,8,1808,general
meae.congressional.congress11.sc.county,congressional,11,SC,county,state,sc.uscongress.district4.1808,U.S. House of Representatives,4,1808,general
meae.congressional.congress11.sc.county,congressional,11,SC,county,state,sc.uscongress.district3.1808,U.S. House of Representatives,3,1808,general
meae.congressional.congress11.sc.county,congressional,11,SC,county,state,sc.uscongress.district2.1808,U.S. House of Representatives,2,1808,general
