congbio_member_name,congbio_position,congbio_party,congbio_state,congbio_birth,congbio_death,congbio_congress,join_name,congbio_id,congbio_url,name_id
"Mathewson, Elisha",Senator,Democratic Republican,RI,1767,1853,10,Elisha Mathewson,M000240,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000240,ME0001
"Montgomery, John",Representative,Republican,MD,1764,1828,10,John Montgomery,M000867,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000867,MJ0205
"Meigs, Return Jonathan, Jr.",Senator,Democratic Republican,OH,1764,1825,10,Return Jonathan Meigs,M000633,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000633,MR0090
"Milnor, William",Representative,Federalist,PA,1769,1848,10,William Milnor,M000786,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000786,MW0326
"Newbold, Thomas",Representative,Republican,NJ,1760,1823,10,Thomas Newbold,N000064,http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000064,NT0008
"Pope, John",Senator,Democratic Republican,KY,1770,1845,10,John Pope,P000431,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000431,PJ0075
"Parker, Nahum",Senator,Democratic Republican,NH,1760,1839,10,Nahum Parker,P000067,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000067,PN0043
"Rowan, John",Representative,Republican,KY,1773,1843,10,John Rowan,R000471,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000471,RJ0044
"Robinson, Jonathan",Senator,Democratic Republican,VT,1756,1819,10,Jonathan Robinson,R000346,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000346,RJ0696
"Richards, Matthias",Representative,Republican,PA,1758,1830,10,Matthias Richards,R000218,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000218,RM0041
"Say, Benjamin",Representative,Republican,PA,1755,1813,10,Benjamin Say,S000098,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000098,SB0099
"Storer, Clement",Representative,Democratic Republican,NH,1760,1830,10,Clement Storer,S000972,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000972,SC0058
"Story, Joseph",Representative,Republican,MA,1779,1845,10,Joseph Story,S000978,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000978,SJ0394
"Smith, Jedediah Kilburn",Representative,Republican,NH,1770,1828,10,Jedediah Kilburn Smith,S000562,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000562,SJ0517
"Sawyer, Lemuel",Representative,Republican,NC,1777,1852,10,Lemuel Sawyer,S000089,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000089,SL0032
"Swart, Peter",Representative,Republican,NY,1752,1829,10,Peter Swart,S001096,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001096,SP0063
"Shaw, Samuel",Representative,Republican,VT,1768,1827,10,Samuel Shaw,S000310,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000310,SS0374
"Tiffin, Edward",Senator,Democratic Republican,OH,1766,1829,10,Edward Tiffin,T000268,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000268,TE0065
"Troup, George Michael",Representative,Democratic Republican,GA,1780,1856,10,George Michael Troup,T000382,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000382,TG0014
"Taylor, John",Representative,Democratic Republican,SC,1770,1832,10,John Taylor,T000085,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000085,TJ0290
"Upham, Jabez",Representative,Federalist,MA,1764,1811,10,Jabez Upham,U000023,http://bioguide.congress.gov/scripts/biodisplay.pl?index=U000023,UJ0005
"Van Horne, Archibald",Representative,Republican,MD,NA,1817,10,Archibald Van Horne,V000043,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000043,VA0120
"Van Alen, James Isaac",Representative,Democratic Republican,NY,1772,1822,10,James Isaac Van Alen,V000011,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000011,VJ0201
"Van Dyke, Nicholas",Representative,Federalist,DE,1770,1826,10,Nicholas Van Dyke,V000037,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000037,VN0150
"Wilbour, Isaac",Representative,Republican,RI,1763,1837,10,Isaac Wilbour,W000454,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000454,WI0118
"Wharton, Jesse",Representative,Democratic Republican,TN,1782,1833,10,Jesse Wharton,W000324,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000324,WJ0952
"Witherell, James",Representative,Republican,VT,1759,1838,10,James Witherell,W000657,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000657,WJ0969
"Wilson, Nathan",Representative,Republican,NY,1758,1834,10,Nathan Wilson,W000606,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000606,WN0089
"Allen, Joseph",Representative,Federalist,MA,1749,1827,11,Joseph Allen,A000136,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000136,AJ0113
"Anderson, William",Representative,Republican,PA,1762,1829,11,William Anderson,A000235,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000235,AW0039
"Bigelow, Abijah",Representative,Federalist,MA,1775,1860,11,Abijah Bigelow,B000453,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000453,BA0106
