town,state,lat,lon,id,administrative_area_level_3,administrative_area_level_2
Broadalkin,New York,43.0586846,-74.1965206,NA,Broadalbin,Fulton County
Brook Haven,New York,40.7792653,-72.9153827,NA,Brookhaven,Suffolk County
Brookfield,New York,42.8128488,-75.3176677,NA,Brookfield,Madison County
Brookhaven,New York,40.7792653,-72.9153827,NA,Brookhaven,Suffolk County
Broome,New York,42.1791865,-75.8533954,NA,NA,Broome County
Brownsville,New York,44.00442215963282,-75.9817886352539,NA,NA,Kings County
Brownville,New York,44.0070026,-75.9840923,NA,Brownville,Jefferson County
Brunswick,New York,42.7359115,-73.5615043,NA,Brunswick,Rensselaer County
Brutus,New York,43.0484434593862,-76.5376281738281,NA,Brutus,Cayuga County
Burlingnton,New York,42.7228512,-75.1254387,NA,Burlington,Otsego County
Burlington,New York,42.7228512,-75.1254387,NA,Burlington,Otsego County
Bushwick,New York,40.6944282,-73.9212858,NA,NA,Kings County
Bushwyck,New York,40.6944282,-73.9212858,NA,NA,Kings County
Buthwick,New York,40.6944282,-73.9212858,NA,NA,Kings County
Butternut,New York,42.377228,-75.30685,NA,NA,Otsego County
Butternuts,New York,42.4773619,-75.3178952,NA,Butternuts,Otsego County
Cairo,New York,42.2989749,-73.9984659,NA,Cairo,Greene County
Caledonia,New York,42.9731175,-77.852785,NA,Caledonia,Livingston County
Cambria,New York,43.1848992,-78.8156113,NA,Cambria,Niagara County
Cambridge,New York,43.0281329,-73.3812231,NA,NA,Washington County
Camden,New York,43.3345138,-75.747964,NA,Camden,Oneida County
Camilius,New York,43.039233,-76.3040965,NA,Camillus,Onondaga County
Camillus,New York,43.039233,-76.3040965,NA,Camillus,Onondaga County
Camp,New York,42.13311278044984,-73.8775634765625,NA,Lower Allen Township,Cumberland County
Canaan,New York,42.4116592,-73.447175,NA,Canaan,Columbia County
Canadaque,New York,42.887535,-77.2816984,NA,NA,Ontario County
Canaedea,New York,42.3864542,-78.1536209,NA,Caneadea,Allegany County
Canaedes,New York,42.3869514405249,-78.1430053710938,NA,NA,NA
Canajoharie,New York,42.9056288,-74.5718073,NA,Canajoharie,Montgomery County
Canajoharry,New York,42.9056288,-74.5718073,NA,Canajoharie,Montgomery County
Canajohary,New York,42.9056288,-74.5718073,NA,Canajoharie,Montgomery County
Canandarqua,New York,42.887535,-77.2816984,NA,NA,Ontario County
Canesteo,New York,42.2703487,-77.6058225,NA,Canisteo,Steuben County
Canisteo,New York,42.2703487,-77.6058225,NA,Canisteo,Steuben County
Cannajoharie,New York,42.9056288,-74.5718073,NA,Canajoharie,Montgomery County
Canojoharie,New York,42.9056288,-74.5718073,NA,Canajoharie,Montgomery County
Canojohary,New York,42.9056288,-74.5718073,NA,Canajoharie,Montgomery County
Carlisle,New York,42.7570191,-74.4456909,NA,Carlisle,Schoharie County
Carmel,New York,41.4300937,-73.6801297,NA,Carmel,Putnam County
Casanova,New York,42.92626291864936,-75.8551025390625,NA,NA,Bronx County
Cassinovia,New York,42.9300668,-75.8526915,NA,Cazenovia,Madison County
Castle Town,New York,40.61773133445856,-74.104156494140625,NA,Vernon,Oneida County
Castleton,New York,40.617079816381285,-74.104156494140625,NA,NA,Rutland County
Castletown,New York,40.617079816381285,-74.10346984863281,NA,New Castle,Westchester County
Catharine's Town,New York,42.312852,-76.7846764,NA,Catharine,Schuyler County
Catharines,New York,42.312852,-76.7846764,NA,Catharine,Schuyler County
Catherine,New York,42.31997030030749,-76.784820556640625,NA,NA,New York County
Catherines,New York,42.33621470741859,-76.783447265625,NA,NA,New York County
Cato,New York,43.1681225,-76.5729987,NA,NA,Cayuga County
Catts-Kill,New York,42.2173102,-73.8645734,NA,Catskill,Greene County
Caughnawaga,New York,42.99159002898986,-74.19685363769531,NA,South Dundas,"Stormont, Dundas and Glengarry United Counties"
Chaarleton,New York,42.9334089,-73.9690142,NA,Charlton,Saratoga County
Champien,New York,43.9622893,-75.6901951,NA,Champion,Jefferson County
Champion,New York,43.9622893,-75.6901951,NA,Champion,Jefferson County
Champlaign,New York,44.9864273,-73.4465251,NA,Champlain,Clinton County
Champlain,New York,44.9864273,-73.4465251,NA,Champlain,Clinton County
Champlin,New York,44.9864273,-73.4465251,NA,Champlain,Clinton County
Charleston,New York,42.819580715795915,-74.28131103515625,NA,NA,Richmond County
Charlestown,New York,42.81731423643948,-74.290924072265625,NA,NA,Washington County
Charleton,New York,42.93443260037529,-73.96064758300781,NA,Charlton,Saratoga County
Charlston,New York,42.82209892875648,-74.30431365966797,NA,NA,Richmond County
Charlstown,New York,42.81152174509788,-74.288177490234375,NA,NA,Washington County
Charlton,New York,42.9334089,-73.9690142,NA,Charlton,Saratoga County
Chateagay,New York,44.9264336,-74.0796081,NA,Chateaugay,Franklin County
Chateaugay,New York,44.9264336,-74.0796081,NA,Chateaugay,Franklin County
Chateauguay,New York,44.9264336,-74.0796081,NA,Chateaugay,Franklin County
Chattagua,New York,42.209774,-79.4668445,NA,Chautauqua,Chautauqua County
Chattaguay,New York,44.9264336,-74.0796081,NA,Chateaugay,Franklin County
Chautaugue,New York,42.209774,-79.4668445,NA,Chautauqua,Chautauqua County
Chazy,New York,44.8895329,-73.4360334,NA,Chazy,Clinton County
Cheesecocks,New York,41.3169326,-74.1900385,NA,Monroe,Orange County
Chemong,New York,42.0089992226549,-76.61384582519531,NA,Clarkstown,Rockland County
Chemung,New York,42.0084073,-76.6238369,NA,Chemung,Chemung County
Chemungo,New York,42.0084073,-76.6238369,NA,Chemung,Chemung County
Chenango,New York,42.18299552873959,-75.8877182006836,NA,NA,Chenango County
Cheningo,New York,42.18579390537848,-75.89080810546875,NA,NA,Chenango County
Cherry Valley,New York,42.7956294,-74.7532018,NA,Cherry Valley,Otsego County
Chesterfield,New York,44.4440753677203,-73.50059509277344,NA,Chesterfield,Essex County
Chile,New York,43.10317626326831,-77.75213241577148,NA,La Serena,Elqui
Chili,New York,43.10399092988393,-77.7513599395752,NA,Chili,Monroe County
Cicero,New York,43.1763158,-76.1141646,NA,Cicero,Onondaga County
Cincinnatus,New York,42.5422923,-75.8957534,NA,Cincinnatus,Cortland County
Claremont,New York,42.083063312144496,-73.82876873016357,NA,NA,Bronx County
Clarence,New York,42.9767255,-78.5919709,NA,Clarence,Erie County
Clark's Town,New York,41.1259715,-73.959494,NA,Clarkstown,Rockland County
Clarkestown,New York,41.1259715,-73.959494,NA,Clarkstown,Rockland County
Clarks Town,New York,41.1259715,-73.959494,NA,Clarkstown,Rockland County
Clarkson,New York,43.2331655,-77.927621,NA,Clarkson,Monroe County
Clarkstown,New York,41.1259715,-73.959494,NA,Clarkstown,Rockland County
Clavarack,New York,42.223403,-73.7351586,NA,Claverack,Columbia County
Claverack,New York,42.223403,-73.7351586,NA,Claverack,Columbia County
Claverick,New York,42.223403,-73.7351586,NA,Claverack,Columbia County
Clerko Town,New York,41.135227480564936,-73.9544677734375,NA,NA,NA
Clermont,New York,42.0830473868164,-73.82838249206543,NA,Clermont,Columbia County
Clinton,New York,43.0484029,-75.3785034,NA,Kirkland,Oneida County
Cllinton,New York,43.0484029,-75.3785034,NA,Kirkland,Oneida County
Cobus Kill,New York,42.67814471770751,-74.47940826416016,NA,NA,NA
Cocksakie,New York,42.3509179,-73.8029028,NA,Coxsackie,Greene County
Cocsacke,New York,42.3509179,-73.8029028,NA,Coxsackie,Greene County
Coeymans,New York,42.4739705,-73.7923456,NA,Coeymans,Albany County
Colchester,New York,42.1603635,-75.077389,NA,Walton,Delaware County
Columbia,New York,42.933207217198614,-75.0377368927002,NA,NA,Columbia County
Columbus,New York,42.6839611,-75.3726723,NA,Columbus,Chenango County
Conajoharie,New York,42.9056288,-74.5718073,NA,Canajoharie,Montgomery County
Concord,New York,42.52677220056902,-78.701934814453125,NA,NA,Richmond County
Conhocton,New York,42.5022907,-77.5072102,NA,Cohocton,Steuben County
Conquest,New York,43.1211773,-76.6480028,NA,Conquest,Cayuga County
Constable,New York,44.9292125,-74.2971311,NA,Constable,Franklin County
Constantia,New York,43.2478466,-76.0001965,NA,Constantia,Oswego County
Cooksackie,New York,42.3509179,-73.8029028,NA,Coxsackie,Greene County
Cortlandt Town,New York,41.2548162,-73.9001377,NA,Cortlandt Manor,Westchester County
Coventry,New York,42.3159098,-75.6385205,NA,Coventry,Chenango County
Covert,New York,42.5753492,-76.6835596,NA,Covert,Seneca County
Coxakie,New York,42.3509179,-73.8029028,NA,Coxsackie,Greene County
Crown Point,New York,43.9503352,-73.4370667,NA,Crown Point,Essex County
Crown-Point,New York,43.9503352,-73.4370667,NA,Crown Point,Essex County
Crownpoint,New York,43.941724,-73.4690117,NA,Crown Point,Essex County
Cumberland,New York,39.5837312,-78.8487897,NA,Cresaptown-Bel Air,Allegany County
De Ruyter,New York,42.7584005,-75.8843616,NA,DeRuyter,Madison County
Deer Park,New York,41.445299934803955,-74.64042663574219,NA,Babylon,Suffolk County
Deerfield,New York,43.16362012590674,-75.17841339111328,NA,Deerfield,Oneida County
Deerpark,New York,41.4591459,-74.663464,NA,Deerpark,Orange County
DeKalb,New York,44.49971942094208,-75.34252166748047,NA,NA,Kings County
Denmark,New York,43.8997909,-75.5824117,NA,Denmark,Lewis County
Dernyter,New York,42.7584005,-75.8843616,NA,DeRuyter,Madison County
Deruyter,New York,42.7584005,-75.8843616,NA,DeRuyter,Madison County
DeRuyter,New York,42.7584005,-75.8843616,NA,DeRuyter,Madison County
Dickenson,New York,44.7483891,-74.564621,NA,Dickinson Center,Franklin County
Dickinson,New York,44.7483891,-74.564621,NA,Dickinson Center,Franklin County
Dorlach,New York,42.74852488539493,-74.56575393676758,NA,NA,NA
Dorlack,New York,42.74902911459619,-74.56644058227539,NA,NA,NA
Dorloch,New York,42.74625580323014,-74.56498146057129,NA,NA,NA
Dover,New York,41.696244,-73.5829689,NA,Dover,Dutchess County
Dryden,New York,42.4909053,-76.2971553,NA,Dryden,Tompkins County
Duanesborough,New York,42.755079545072135,-74.1302490234375,NA,NA,NA
Duanesburg,New York,42.76202,-74.1337383,NA,Duanesburg,Schenectady County
Duanesburgh,New York,42.76202,-74.1337383,NA,Duanesburg,Schenectady County
Dunesburgh,New York,42.76202,-74.1337383,NA,Duanesburg,Schenectady County
Durham,New York,42.3995257,-74.1723608,NA,Durham,Greene County
Durloch,New York,42.747138233941826,-74.56850051879883,NA,NA,NA
East Chester,New York,40.95734486099285,-73.80615234375,NA,Chester,Orange County
East Hampton,New York,40.9634335,-72.1848009,NA,East Hampton,Suffolk County
East-Chester,New York,40.956826305786734,-73.80409240722655,NA,Chester,Orange County
East-Hampton,New York,40.9634335,-72.1848009,NA,East Hampton,Suffolk County
Eastampton,New York,40.96123389519331,-72.16987609863281,NA,NA,Hampden County
Eastchester,New York,40.9595605,-73.8095574,NA,Eastchester,Westchester County
Easthampton,New York,40.9634335,-72.1848009,NA,East Hampton,Suffolk County
Easthamton,New York,40.9634335,-72.1848009,NA,East Hampton,Suffolk County
Easton,New York,42.9934104,-73.5523378,NA,Easton,Washington County
Eastown,New York,42.98954960666953,-73.55629920959473,NA,Southeast,Putnam County
Eaton,New York,42.99058552185121,-73.54522705078125,NA,Eaton,Madison County
Edinburgh,New York,43.22226864444986,-74.09540176391602,NA,NA,Hidalgo County
Edon,New York,42.65416193033991,-78.89556884765625,NA,NA,NA
Elizabeth-Town,New York,44.2163337,-73.5904478,NA,Elizabethtown,Essex County
Elizabethtown,New York,44.2163337,-73.5904478,NA,Elizabethtown,Essex County
Ellisburg,New York,43.7328451,-76.1360363,NA,Ellisburg,Jefferson County
Ellisburgh,New York,43.7328451,-76.1360363,NA,Ellisburg,Jefferson County
Erie,New York,43.0005043104253,-78.53233337402344,NA,NA,Erie County
Erwin,New York,42.156626,-77.1255055,NA,Erwin,Steuben County
Esopus,New York,41.8278707,-73.9651379,NA,Esopus,Ulster County
Essex,New York,44.3100511,-73.3526277,NA,Essex,Essex County
Exeter,New York,42.7916338,-75.0844757,NA,Exeter,Otsego County
Fabius,New York,42.835067,-75.9860322,NA,Fabius,Onondaga County
Fabuis,New York,42.835067,-75.9860322,NA,Fabius,Onondaga County
Fairfield,New York,43.1372919,-74.9132097,NA,Fairfield,Herkimer County
Farmington,New York,42.9864223,-77.3259508,NA,Farmington,Ontario County
Fayette,New York,42.8142352,-76.8091216,NA,Fayette,Seneca County
Fishkill,New York,41.5356492,-73.8990252,NA,Fishkill,Dutchess County
Flat Lands,New York,40.6268432,-73.9330429,NA,NA,Kings County
Flat-Lands,New York,40.6268432,-73.9330429,NA,NA,Kings County
Flatbush,New York,40.6409217,-73.9624327,NA,NA,Kings County
Flatland,New York,40.6611019,-73.8624763,NA,NA,Kings County
Flatlands,New York,40.6268432,-73.9330429,NA,NA,Kings County
Fleming,New York,42.8617349,-76.5741088,NA,Fleming,Cayuga County
Florence,New York,43.4384032,-75.7493533,NA,Florence,Oneida County
Floyd,New York,43.2197918,-75.3343366,NA,Floyd,Oneida County
Fowler,New York,44.2786725,-75.3863214,NA,Fowler,St. Lawrence County
Franklin,New York,42.3406373,-75.1651689,NA,Franklin,Delaware County
Frederick,New York,41.46537017728069,-73.72856140136719,NA,NA,Richmond County
Frederick Town,New York,41.44272637767212,-73.7347412109375,NA,NA,Richmond County
Fredericks,New York,41.45919537950706,-73.73199462890625,NA,NA,New York County
Fredericksburgh,New York,41.43860847395721,-73.73199462890625,NA,Scriba,Oswego County
Frederickstown,New York,41.43860847395721,-73.72650146484375,NA,NA,NA
Fredericktown,New York,41.43860847395721,-73.74847412109375,NA,NA,York County
Freedom,New York,42.495390378152244,-78.37577819824219,NA,Freedom,Cattaraugus County
Freehold,New York,42.3592503,-74.0498564,NA,Greenville,Greene County
Galen,New York,43.099478793917605,-76.87065124511719,NA,Galen,Wayne County
Gallatin,New York,42.0650965,-73.7242486,NA,Gallatin,Columbia County
Galloway,New York,43.01920754159507,-74.02862548828125,NA,NA,Atlantic County
Gallway,New York,43.0186858,-74.0315162,NA,Galway,Saratoga County
Galoway,New York,43.01920754159507,-74.03068542480469,NA,NA,Atlantic County
Galway,New York,43.0186858,-74.0315162,NA,Galway,Saratoga County
