candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote,ahcb_county,id,fips
2,Albany,ny.uscongress5.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,John Livingston,LJ0214,Anti-Federalist,A02,58,ALBANY,nys_albany,36001
1,Clinton,ny.uscongress5.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Peter Sylvester,SP0060,Federalist,A01,NA,CLINTON,nys_clinton,36019
2,Clinton,ny.uscongress5.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,John Livingston,LJ0214,Anti-Federalist,A02,NA,CLINTON,nys_clinton,36019
1,Columbia,ny.uscongress5.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Peter Sylvester,SP0060,Federalist,A01,914,COLUMBIA,nys_columbia,36021
2,Columbia,ny.uscongress5.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,John Livingston,LJ0214,Anti-Federalist,A02,855,COLUMBIA,nys_columbia,36021
1,Washington,ny.uscongress5.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Peter Sylvester,SP0060,Federalist,A01,236,WASHINGTON,nys_washington,36115
2,Washington,ny.uscongress5.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,John Livingston,LJ0214,Anti-Federalist,A02,305,WASHINGTON,nys_washington,36115
1,Albany,ny.uscongress6.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,James Gordon,GJ0267,Federalist,A01,1195,ALBANY,nys_albany,36001
2,Albany,ny.uscongress6.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Jeremiah Van Rensselaer,VJ0189,Anti-Federalist,A02,658,ALBANY,nys_albany,36001
1,Montgomery,ny.uscongress6.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,James Gordon,GJ0267,Federalist,A01,270,MONTGOMERY,nys_montgomery,36057
2,Montgomery,ny.uscongress6.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Jeremiah Van Rensselaer,VJ0189,Anti-Federalist,A02,359,MONTGOMERY,nys_montgomery,36057
1,Ontario,ny.uscongress6.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,James Gordon,GJ0267,Federalist,A01,NA,ONTARIO,nys_ontario,36069
2,Ontario,ny.uscongress6.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Jeremiah Van Rensselaer,VJ0189,Anti-Federalist,A02,NA,ONTARIO,nys_ontario,36069
1,Kings,ny.uscongress1.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Thomas Tredwell,TT0055,Republican,A03,12,KINGS,nys_kings,36047
2,Kings,ny.uscongress1.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Joshua Sands,SJ0646,Federalist,A01,425,KINGS,nys_kings,36047
3,Kings,ny.uscongress1.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Harry Peters,PH0027,Federalist,A01,35,KINGS,nys_kings,36047
1,Queens,ny.uscongress1.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Thomas Tredwell,TT0055,Republican,A03,365,QUEENS,nys_queens,36081
2,Queens,ny.uscongress1.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Joshua Sands,SJ0646,Federalist,A01,300,QUEENS,nys_queens,36081
3,Queens,ny.uscongress1.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Harry Peters,PH0027,Federalist,A01,608,QUEENS,nys_queens,36081
1,Suffolk,ny.uscongress1.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Thomas Tredwell,TT0055,Republican,A03,1069,SUFFOLK,nys_suffolk,36103
